#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
 9.323988355656645e-01 -1.364193344945862e-01 -3.346971416248531e-01  6.285327349191533e-01 -4.693341310487826e-01 -6.202193761627683e-01
 2.313682944015874e-01  8.141040599575166e-01 -5.326380496231833e-01  5.059999057488997e-01  6.992409160335350e-01  5.050012244803842e-01
 1.206490003786655e-01 -2.364015333387756e-01  9.641359518982292e-01 -8.048037903451047e-01 -2.553422945584553e-01  5.358088947150614e-01
-6.959288803475906e-01  3.917917412261364e-01  6.018157733103554e-01 -7.820527321196413e-01 -5.912484644466239e-01 -1.970248143603077e-01
-3.126137716097717e-01  6.906719526402936e-01 -6.521080306482643e-01 -9.685148551326531e-02 -1.493648768206740e-01 -9.840273996826606e-01
-2.004204638210295e-02 -2.195923524503410e-02  9.995579564808991e-01 -2.423267599789864e-01 -1.866254095355636e-01 -9.520759937703345e-01
 5.084149523567250e-01  3.298625166795729e-02  8.604801818874199e-01 -3.651277666384325e-02  1.657364327099075e-01  9.854939127223925e-01
-8.018057398303956e-01  3.798497864865497e-01  4.613260184307347e-01 -6.093132665186847e-02 -2.140660687877897e-01 -9.749169665290396e-01
-3.494337786823569e-01  3.080680797613239e-01  8.848672739727355e-01  8.543619973820117e-01 -5.177938118887863e-01  4.421703064543887e-02
 2.421704241842304e-02  6.362400568232041e-02  9.976800693395856e-01  4.584782961696027e-01 -4.132677184847122e-01  7.867702617663296e-01
 1.244054041837055e-01  6.915127752357244e-01 -7.115710625760967e-01 -2.146985584339058e-01  3.571384689311402e-01 -9.090416068673225e-01
-1.141947735383627e-01  9.840393735064678e-01 -1.364773427552000e-01 -2.631711667829890e-01 -8.271484304113604e-01 -4.965545398464332e-01
-1.371437466055618e-01 -2.388043842043542e-02  9.902632566281743e-01 -4.406642690739647e-01 -7.713262059165076e-01 -4.592068009382633e-01
-1.906612359956025e-02 -9.564508339942146e-01 -2.912701239101902e-01  3.565933899197170e-02  4.869072018836190e-03  9.993521419801585e-01
 7.324584436896110e-01  6.458951680973464e-01 -2.152302490271607e-01  9.889451307764803e-01 -1.757949468511038e-02  1.472361697413596e-01
